2019-04-15 12:23:00  index = 1, 20190415, 122200, 3.37, 3.37, 3.36, 3.37, 26.00
2019-04-15 12:24:00  index = 2, 20190415, 122300, 3.37, 3.41, 3.37, 3.38, 62.00
2019-04-15 12:25:00  index = 3, 20190415, 122400, 3.38, 3.43, 3.36, 3.41, 63.00
2019-04-15 12:26:00  index = 4, 20190415, 122500, 3.41, 3.42, 3.40, 3.40, 66.00
2019-04-15 12:27:00  index = 5, 20190415, 122600, 3.40, 3.40, 3.36, 3.36, 40.00
2019-04-15 12:28:00  index = 6, 20190415, 122700, 3.36, 3.39, 3.36, 3.39, 16.00
2019-04-15 12:29:00  index = 7, 20190415, 122800, 3.40, 3.40, 3.37, 3.39, 50.00
2019-04-15 12:30:00  index = 8, 20190415, 122900, 3.39, 3.39, 3.38, 3.39, 7.00
2019-04-15 12:31:00  index = 9, 20190415, 123000, 3.41, 3.43, 3.40, 3.43, 65.00
2019-04-15 12:32:00  index = 10, 20190415, 123100, 3.44, 3.56, 3.44, 3.50, 287.00
2019-04-15 12:33:00  index = 11, 20190415, 123200, 3.50, 3.50, 3.45, 3.49, 59.00
2019-04-15 12:34:00  index = 12, 20190415, 123300, 3.49, 3.52, 3.48, 3.48, 97.00
2019-04-15 12:35:00  index = 13, 20190415, 123400, 3.50, 3.51, 3.49, 3.49, 50.00
2019-04-15 12:36:00  index = 14, 20190415, 123500, 3.51, 3.52, 3.49, 3.49, 14.00
2019-04-15 12:37:00  index = 15, 20190415, 123600, 3.50, 3.51, 3.46, 3.47, 37.00
2019-04-15 12:38:00  index = 16, 20190415, 123700, 3.49, 3.50, 3.48, 3.50, 26.00
2019-04-15 12:39:00  index = 17, 20190415, 123800, 3.51, 3.52, 3.50, 3.52, 73.00
2019-04-15 12:40:00  index = 18, 20190415, 123900, 3.52, 3.62, 3.52, 3.60, 140.00
2019-04-15 12:41:00  index = 19, 20190415, 124000, 3.59, 3.62, 3.56, 3.58, 131.00
2019-04-15 12:42:00  index = 20, 20190415, 124100, 3.57, 3.57, 3.54, 3.54, 43.00
2019-04-15 12:43:00  index = 21, 20190415, 124200, 3.55, 3.56, 3.53, 3.55, 102.00
2019-04-15 12:44:00  index = 22, 20190415, 124300, 3.55, 3.58, 3.55, 3.56, 50.00
2019-04-15 12:45:00  index = 23, 20190415, 124400, 3.56, 3.56, 3.54, 3.54, 6.00
2019-04-15 12:46:00  index = 24, 20190415, 124500, 3.53, 3.54, 3.52, 3.54, 51.00
2019-04-15 12:47:00  index = 25, 20190415, 124600, 3.54, 3.55, 3.52, 3.54, 27.00
2019-04-15 12:48:00  index = 26, 20190415, 124700, 3.54, 3.60, 3.54, 3.59, 44.00
2019-04-15 12:49:00  index = 27, 20190415, 124800, 3.60, 3.62, 3.58, 3.58, 80.00
2019-04-15 12:50:00  index = 28, 20190415, 124900, 3.59, 3.59, 3.57, 3.57, 15.00
2019-04-15 12:51:00  index = 29, 20190415, 125000, 3.55, 3.57, 3.54, 3.56, 33.00
2019-04-15 12:52:00  index = 30, 20190415, 125100, 3.56, 3.56, 3.54, 3.56, 10.00
2019-04-15 12:53:00  index = 31, 20190415, 125200, 3.55, 3.55, 3.52, 3.52, 68.00
2019-04-15 12:54:00  index = 32, 20190415, 125300, 3.53, 3.53, 3.52, 3.53, 22.00
2019-04-15 12:55:00  index = 33, 20190415, 125400, 3.53, 3.57, 3.53, 3.54, 34.00
2019-04-15 12:56:00  index = 34, 20190415, 125500, 3.54, 3.55, 3.54, 3.55, 8.00
2019-04-15 12:57:00  index = 35, 20190415, 125600, 3.55, 3.55, 3.52, 3.52, 17.00
2019-04-15 12:58:00  index = 36, 20190415, 125700, 3.52, 3.52, 3.51, 3.52, 14.00
2019-04-15 12:59:00  index = 37, 20190415, 125800, 3.51, 3.56, 3.51, 3.53, 41.00
2019-04-15 13:00:00  index = 38, 20190415, 125900, 3.53, 3.53, 3.50, 3.51, 27.00
2019-04-15 13:01:00  index = 39, 20190415, 130000, 3.52, 3.53, 3.51, 3.51, 10.00
2019-04-15 13:02:00  index = 40, 20190415, 130100, 3.51, 3.51, 3.51, 3.51, 4.00
2019-04-15 13:03:00  index = 41, 20190415, 130200, 3.52, 3.52, 3.51, 3.51, 7.00
2019-04-15 13:04:00  index = 42, 20190415, 130300, 3.50, 3.50, 3.48, 3.50, 62.00
2019-04-15 13:05:00  index = 43, 20190415, 130400, 3.50, 3.52, 3.50, 3.50, 27.00
2019-04-15 13:06:00  index = 44, 20190415, 130500, 3.50, 3.51, 3.50, 3.51, 9.00
2019-04-15 13:07:00  index = 45, 20190415, 130600, 3.51, 3.51, 3.50, 3.50, 9.00
2019-04-15 13:08:00  index = 46, 20190415, 130700, 3.50, 3.54, 3.50, 3.54, 34.00
2019-04-15 13:09:00  index = 47, 20190415, 130800, 3.51, 3.52, 3.51, 3.52, 7.00
2019-04-15 13:11:00  index = 48, 20190415, 131000, 3.51, 3.51, 3.49, 3.49, 9.00
2019-04-15 13:12:00  index = 49, 20190415, 131100, 3.49, 3.49, 3.49, 3.49, 1.00
2019-04-15 13:13:00  index = 50, 20190415, 131200, 3.50, 3.50, 3.50, 3.50, 5.00
2019-04-15 13:14:00  index = 51, 20190415, 131300, 3.50, 3.50, 3.49, 3.49, 3.00
2019-04-15 13:15:00  index = 52, 20190415, 131400, 3.49, 3.50, 3.48, 3.50, 20.00
2019-04-15 13:16:00  index = 53, 20190415, 131500, 3.50, 3.53, 3.50, 3.52, 22.00
2019-04-15 13:17:00  index = 54, 20190415, 131600, 3.52, 3.53, 3.51, 3.51, 6.00
2019-04-15 13:18:00  index = 55, 20190415, 131700, 3.52, 3.53, 3.52, 3.52, 5.00
2019-04-15 13:19:00  index = 56, 20190415, 131800, 3.52, 3.52, 3.49, 3.49, 15.00
2019-04-15 13:20:00  index = 57, 20190415, 131900, 3.48, 3.49, 3.48, 3.49, 5.00
2019-04-15 13:21:00  index = 58, 20190415, 132000, 3.50, 3.50, 3.49, 3.49, 4.00
2019-04-15 13:22:00  index = 59, 20190415, 132100, 3.49, 3.49, 3.49, 3.49, 1.00
2019-04-15 13:23:00  index = 60, 20190415, 132200, 3.48, 3.50, 3.48, 3.50, 7.00
2019-04-15 13:24:00  index = 61, 20190415, 132300, 3.50, 3.55, 3.50, 3.54, 23.00
2019-04-15 13:25:00  index = 62, 20190415, 132400, 3.51, 3.51, 3.48, 3.48, 8.00
2019-04-15 13:26:00  index = 63, 20190415, 132500, 3.49, 3.50, 3.49, 3.50, 12.00
2019-04-15 13:27:00  index = 64, 20190415, 132600, 3.52, 3.56, 3.52, 3.55, 54.00
2019-04-15 13:28:00  index = 65, 20190415, 132700, 3.56, 3.56, 3.55, 3.55, 24.00
2019-04-15 13:29:00  index = 66, 20190415, 132800, 3.55, 3.55, 3.54, 3.55, 3.00
2019-04-15 13:30:00  index = 67, 20190415, 132900, 3.54, 3.54, 3.54, 3.54, 11.00
2019-04-15 13:31:00  index = 68, 20190415, 133000, 3.54, 3.55, 3.54, 3.55, 5.00
2019-04-15 13:32:00  index = 69, 20190415, 133100, 3.55, 3.55, 3.51, 3.51, 40.00
2019-04-15 13:33:00  index = 70, 20190415, 133200, 3.51, 3.53, 3.51, 3.53, 15.00
2019-04-15 13:34:00  index = 71, 20190415, 133300, 3.54, 3.56, 3.54, 3.56, 32.00
2019-04-15 13:35:00  index = 72, 20190415, 133400, 3.56, 3.56, 3.56, 3.56, 5.00
2019-04-15 13:36:00  index = 73, 20190415, 133500, 3.54, 3.55, 3.54, 3.54, 6.00
2019-04-15 13:37:00  index = 74, 20190415, 133600, 3.55, 3.57, 3.55, 3.57, 32.00
2019-04-15 13:38:00  index = 75, 20190415, 133700, 3.57, 3.57, 3.57, 3.57, 4.00
2019-04-15 13:39:00  index = 76, 20190415, 133800, 3.57, 3.57, 3.52, 3.52, 15.00
2019-04-15 13:41:00  index = 77, 20190415, 134000, 3.52, 3.53, 3.52, 3.53, 8.00
2019-04-15 13:42:00  index = 78, 20190415, 134100, 3.53, 3.53, 3.53, 3.53, 5.00
2019-04-15 13:43:00  index = 79, 20190415, 134200, 3.53, 3.54, 3.53, 3.54, 5.00
2019-04-15 13:46:00  index = 80, 20190415, 134500, 3.55, 3.55, 3.55, 3.55, 1.00
2019-04-15 13:47:00  index = 81, 20190415, 134600, 3.54, 3.54, 3.53, 3.53, 5.00
2019-04-15 13:48:00  index = 82, 20190415, 134700, 3.53, 3.55, 3.53, 3.53, 8.00
2019-04-15 13:49:00  index = 83, 20190415, 134800, 3.53, 3.53, 3.50, 3.50, 8.00
2019-04-15 13:50:00  index = 84, 20190415, 134900, 3.50, 3.52, 3.50, 3.51, 13.00
2019-04-15 13:51:00  index = 85, 20190415, 135000, 3.52, 3.55, 3.52, 3.52, 14.00
2019-04-15 13:52:00  index = 86, 20190415, 135100, 3.53, 3.53, 3.53, 3.53, 3.00
2019-04-15 13:53:00  index = 87, 20190415, 135200, 3.53, 3.57, 3.53, 3.57, 31.00
2019-04-15 13:54:00  index = 88, 20190415, 135300, 3.57, 3.57, 3.56, 3.56, 12.00
2019-04-15 13:55:00  index = 89, 20190415, 135400, 3.57, 3.58, 3.57, 3.58, 8.00
2019-04-15 13:56:00  index = 90, 20190415, 135500, 3.57, 3.59, 3.57, 3.57, 50.00
2019-04-15 13:57:00  index = 91, 20190415, 135600, 3.57, 3.57, 3.57, 3.57, 11.00
